Bacteria,Chemicals,Bacteria_counts,Correlation,Importance_random_forest,CV_random_forest,R_squared_random_forest,Importance_xgboost,CV_xgboost,R_squared_xgboost,Importance_decition_tree,CV_decition_tree,R_squared_decition_tree
SR1,Rb,295,-0.4752881013299028,0.3613374704190917,0.14934043493269322,0.6208876596142054,1.4360114268763966,-0.749965485359276,0.9317241296017886,1.9378452046060437,-1.955304435943031,0.8003135623476817
[Thermi],Acenaften,273,-0.3312189226856166,0.20587191839936347,-0.2846450849512976,0.4525739801418247,2.0644481390340985,-40.79140666376138,0.04652170002140987,1.0451560720870292,-46.08946951739644,0.5154960583371676
Kazan-3B-28,Rb,155,-0.26888617144236415,0.21991079009614523,-0.11029827065810593,0.5204746037504894,1.6347977666327367,-19.028452946447963,0.9492168872483431,1.240968144267765,-1.3512543667265708,0.5732810852196761
WS5,Rb,14,-0.12019386659090465,0.3507454038624358,-0.1068212559121684,0.46932743795529086,1.4471527057877136,-1.5647301715278084,0.12069209987686447,1.0443711037770442,-0.9599999999999996,0.4308764209754309
LD1,Sb,2,-0.17223397112086328,0.3309402560163849,-0.12765373213486564,0.5800557992181339,2.0630686876228865,-0.033333333333333305,0.9999995084525745,1.032258064516129,0.3666666666666667,-0.5483870967741935
