,Bacteria,Chemicals,Importance_decision_tree,CV_decision_tree,R_squared_decision_tree
0,0,Sb,1.409658495743007,-8.77779258936295,0.6160528368786014
1,1,B,0.9921848300573419,-1.8287353852083883,0.04638843299396034
2,8,Acenaften,1.260823627593073,-889.4313227667462,0.6100980751978081
3,10,"['EC', 'Sr', 'Antracen']",1.0095845828896823,-6437.055424491673,-0.5725428050272041
4,10,"['Li', 'Antracen']",1.0095845828896823,-6437.055424491673,-0.5725428050272041
5,10,"['Al', 'Fe']",1.0095845828896823,-6437.055424491673,-0.5725428050272041
6,10,"['V', 'As']",1.0095845828896823,-6437.055424491673,-0.5725428050272041
7,10,"['Cr', 'Fe']",1.0095845828896823,-6437.055424491673,-0.5725428050272041
8,10,"['Mn', 'Fe']",1.0095845828896823,-6437.055424491673,-0.5725428050272041
9,10,"['Fe', 'Al', 'Cr', 'Mn']",1.0119547080934634,-6437.055424491673,-0.5725428050272041
10,10,"['Se', 'Mo']",1.0119547080934634,-6437.055424491673,-0.5725428050272041
11,10,"['Sr', 'EC']",1.0119547080934634,-6437.055424491673,-0.5725428050272041
12,10,"['Fluoren', 'Fluoranten']",1.0119547080934634,-6437.055424491673,-0.5725428050272041
13,10,"['Antracen', 'EC', 'Li']",1.0135431490193163,-6437.055424491673,-0.5725428050272041
14,10,pH,1.0135431490193163,-6437.055424491673,-0.5725428050272041
15,10,TOC,1.013193376089886,-6437.055424491673,-0.5725428050272041
16,10,HCHO,1.0135431490193163,-6437.055424491673,-0.5725428050272041
17,10,B,1.0135431490193163,-6437.055424491673,-0.5725428050272041
18,10,Ni,1.0135431490193163,-6437.055424491673,-0.5725428050272041
19,10,Ga,1.0135431490193163,-6437.055424491673,-0.5725428050272041
20,10,Rb,1.0135431490193163,-6437.055424491673,-0.5725428050272041
21,10,Sb,1.0135431490193163,-6437.055424491673,-0.5725428050272041
22,10,Ba,1.0135431490193163,-6437.055424491673,-0.5725428050272041
23,10,Naftalen,1.0135431490193163,-6437.055424491673,-0.5725428050272041
24,10,Acenaften,1.0135431490193163,-6437.055424491673,-0.5725428050272041
25,11,B,0.9011434616205456,-57.77337757459869,0.534053347965796
26,12,"['EC', 'Sr', 'Antracen']",0.9583496195223729,-0.6158726457937149,-0.4570326661730515
27,12,"['Li', 'Antracen']",0.9583496195223729,-0.6158726457937149,-0.4570326661730515
28,12,"['Al', 'Fe']",0.9583496195223729,-0.6158726457937149,-0.4570326661730515
29,12,"['V', 'As']",0.9583496195223729,-0.6158726457937149,-0.4570326661730515
30,12,"['Cr', 'Fe']",0.9583496195223729,-0.6158726457937149,-0.4570326661730515
31,12,"['Mn', 'Fe']",0.9583496195223729,-0.6158726457937149,-0.4570326661730515
32,12,"['Fe', 'Al', 'Cr', 'Mn']",1.1728635665457972,-0.6158726457937149,-0.4570326661730515
33,12,"['Se', 'Mo']",1.1728635665457972,-0.6158726457937149,-0.4570326661730515
34,12,"['Sr', 'EC']",1.1728635665457972,-0.6158726457937149,-0.4570326661730515
35,12,"['Fluoren', 'Fluoranten']",1.1728635665457972,-0.6158726457937149,-0.4570326661730515
36,12,"['Antracen', 'EC', 'Li']",1.3181316869530566,-0.6158726457937149,-0.4570326661730515
37,12,pH,1.3181316869530566,-0.6158726457937149,-0.4570326661730515
38,12,TOC,1.512871727207915,-0.6158726457937149,-0.4570326661730515
39,12,B,1.3181316869530566,-0.6158726457937149,-0.4570326661730515
40,12,Ni,1.2767022303328357,-0.6158726457937149,-0.4570326661730515
41,12,Ga,1.7936388653728976,-0.6158726457937149,-0.4570326661730515
42,12,Rb,1.3181316869530566,-0.6158726457937149,-0.4570326661730515
43,12,Sb,1.3181316869530566,-0.6158726457937149,-0.4570326661730515
44,12,Ba,1.3181316869530566,-0.6158726457937149,-0.4570326661730515
45,12,Naftalen,1.3181316869530566,-0.6158726457937149,-0.4570326661730515
46,12,Acenaften,1.3181316869530566,-0.6158726457937149,-0.4570326661730515
47,14,Sb,1.062752071158442,-3333.166073733514,0.8259088793128696
48,15,"['EC', 'Sr', 'Antracen']",1.0282942827856618,-2148374.156523117,-0.5460785699308492
49,15,"['Li', 'Antracen']",1.029626727360018,-2148374.156523117,-0.5460785699308492
50,15,"['Al', 'Fe']",1.029626784064487,-2148374.156523117,-0.5460785699308492
51,15,"['V', 'As']",1.0297008708163906,-2148374.156523117,-0.5460785699308492
52,15,"['Cr', 'Fe']",1.029034165655216,-2148374.156523117,-0.5460785699308492
53,15,"['Mn', 'Fe']",1.0279240026007472,-2148374.156523117,-0.5460785699308492
54,15,"['Fe', 'Al', 'Cr', 'Mn']",1.0298491789933135,-2148374.156523117,-0.5460785699308492
55,15,"['Se', 'Mo']",1.0298491789933135,-2148374.156523117,-0.5460785699308492
56,15,"['Fluoren', 'Fluoranten']",1.0295526146185656,-2148374.156523117,-0.5460785699308492
57,15,"['Antracen', 'EC', 'Li']",1.0297750662518608,-2148374.156523117,-0.5460785699308492
58,15,pH,1.0295526146185656,-2148374.156523117,-0.5460785699308492
59,15,TOC,1.0295526146185656,-2148374.156523117,-0.5460785699308492
60,15,HCHO,1.0295526146185656,-2148374.156523117,-0.5460785699308492
61,15,B,1.0295526146185656,-2148374.156523117,-0.5460785699308492
62,15,Ni,1.0295526146185656,-2148374.156523117,-0.5460785699308492
63,15,Ga,1.0295526146185656,-2148374.156523117,-0.5460785699308492
64,15,Rb,1.0295526146185656,-2148374.156523117,-0.5460785699308492
65,15,Sb,1.0295526146185656,-2148374.156523117,-0.5460785699308492
