,Bacteria,Chemicals,Importance_xgboost,CV_xgboost,R_squared_xgboost
0,5,Ga,1.0355749984383698,-5.469368502680142,0.9268430516846644
1,6,"['Li', 'Antracen']",0.9430863967680132,-7826.386091524313,0.056314393598120294
2,6,"['Mn', 'Fe']",0.9476948764890059,-7826.386091524313,0.056314393598120294
3,6,"['Fe', 'Al', 'Cr', 'Mn']",0.9437462092025085,-7826.386091524313,0.056314393598120294
4,6,"['Se', 'Mo']",0.9434348270404656,-7826.386091524313,0.056314393598120294
5,6,"['Fluoren', 'Fluoranten']",0.9436856059579367,-7826.386091524313,0.056314393598120294
6,6,EC,0.9431376905992571,-7826.386091524313,0.056314393598120294
7,6,TOC,0.9437376578248045,-7826.386091524313,0.056314393598120294
8,6,HCHO,0.9427454891510761,-7826.386091524313,0.056314393598120294
9,6,B,0.943718894242419,-7826.386091524313,0.056314393598120294
10,6,Ni,0.9436612982131796,-7826.386091524313,0.056314393598120294
11,6,Ga,0.9436411844312721,-7826.386091524313,0.056314393598120294
12,6,Rb,0.9438752659189541,-7826.386091524313,0.056314393598120294
13,6,Sr,0.9438157159705444,-7826.386091524313,0.056314393598120294
14,6,Sb,0.943692971649612,-7826.386091524313,0.056314393598120294
15,6,Ba,0.9517269045767881,-7826.386091524313,0.056314393598120294
16,6,Naftalen,0.943791503950692,-7826.386091524313,0.056314393598120294
17,6,Acenaften,3.0820356497937116,-7826.386091524313,0.056314393598120294
18,10,"['Li', 'Antracen']",1.0659211561627067,-0.09999999999999995,-1.1318428008091241
19,10,"['Al', 'Fe']",1.0659211561627067,-0.09999999999999995,-1.1318428008091241
20,10,"['V', 'As']",1.0659211561627067,-0.09999999999999995,-1.1318428008091241
21,10,"['Cr', 'Fe']",1.0659211561627067,-0.09999999999999995,-1.1318428008091241
22,10,"['Mn', 'Fe']",1.0659211561627067,-0.09999999999999995,-1.1318428008091241
23,10,"['Fe', 'Al', 'Cr', 'Mn']",2.131842312325413,-0.09999999999999995,-1.1318428008091241
24,10,"['Se', 'Mo']",2.1318423123254133,-0.09999999999999995,-1.1318428008091241
25,10,"['Fluoren', 'Fluoranten']",2.131842312325413,-0.09999999999999995,-1.1318428008091241
26,10,pH,2.131842312325413,-0.09999999999999995,-1.1318428008091241
27,10,EC,2.131842312325413,-0.09999999999999995,-1.1318428008091241
28,10,TOC,2.1318423123254133,-0.09999999999999995,-1.1318428008091241
29,10,HCHO,2.131842312325413,-0.09999999999999995,-1.1318428008091241
30,10,B,2.131842312325413,-0.09999999999999995,-1.1318428008091241
31,10,Ni,2.131842312325413,-0.09999999999999995,-1.1318428008091241
32,10,Ga,2.131842312325413,-0.09999999999999995,-1.1318428008091241
33,10,Rb,2.131842312325413,-0.09999999999999995,-1.1318428008091241
34,10,Sr,2.131842312325413,-0.09999999999999995,-1.1318428008091241
35,10,Sb,2.131842312325413,-0.09999999999999995,-1.1318428008091241
36,10,Ba,2.131842312325413,-0.09999999999999995,-1.1318428008091241
37,10,Naftalen,2.131842312325413,-0.09999999999999995,-1.1318428008091241
38,10,Acenaften,2.131842312325413,-0.09999999999999995,-1.1318428008091241
39,14,Ba,0.9157833625636891,-0.09410295914589684,0.9656533983672798
40,15,Ga,1.2585420121376565,-1.7151000870382493,0.982766901943093
41,20,"['Li', 'Antracen']",0.980825472879878,-0.03333333333333335,-0.49918884464415414
42,20,"['Al', 'Fe']",1.4991887372155324,-0.03333333333333335,-0.49918884464415414
43,20,"['V', 'As']",0.9808754534080677,-0.03333333333333335,-0.49918884464415414
44,20,"['Cr', 'Fe']",1.4991887372155326,-0.03333333333333335,-0.49918884464415414
45,20,"['Mn', 'Fe']",1.59172383938917,-0.03333333333333335,-0.49918884464415414
46,20,"['Fe', 'Al', 'Cr', 'Mn']",1.4991887372155324,-0.03333333333333335,-0.49918884464415414
47,20,"['Se', 'Mo']",0.9808754534080679,-0.03333333333333335,-0.49918884464415414
48,20,"['Fluoren', 'Fluoranten']",1.4991887372155324,-0.03333333333333335,-0.49918884464415414
49,20,pH,1.4991887372155326,-0.03333333333333335,-0.49918884464415414
50,20,EC,1.4991887372155324,-0.03333333333333335,-0.49918884464415414
51,20,TOC,1.4991887372155324,-0.03333333333333335,-0.49918884464415414
52,20,HCHO,1.4991887372155324,-0.03333333333333335,-0.49918884464415414
53,20,B,1.4991887372155324,-0.03333333333333335,-0.49918884464415414
54,20,Ni,1.4991887372155324,-0.03333333333333335,-0.49918884464415414
55,20,Ga,1.4991887372155324,-0.03333333333333335,-0.49918884464415414
56,20,Rb,1.4991887372155324,-0.03333333333333335,-0.49918884464415414
57,20,Sr,1.4991887372155324,-0.03333333333333335,-0.49918884464415414
58,20,Sb,1.4991887372155324,-0.03333333333333335,-0.49918884464415414
59,20,Ba,1.4991887372155324,-0.03333333333333335,-0.49918884464415414
60,20,Naftalen,1.4991887372155324,-0.03333333333333335,-0.49918884464415414
61,20,Acenaften,1.4991887372155324,-0.03333333333333335,-0.49918884464415414
62,21,"['Li', 'Antracen']",0.9837897582567148,-0.033333333333333305,0.05035311249328722
63,21,"['Mn', 'Fe']",1.0206163883262613,-0.033333333333333305,0.05035311249328722
64,21,"['Se', 'Mo']",1.0044243547965266,-0.033333333333333305,0.05035311249328722
65,21,"['Fluoren', 'Fluoranten']",0.9496439955142614,-0.033333333333333305,0.05035311249328722
66,21,pH,0.9960803304237839,-0.033333333333333305,0.05035311249328722
67,21,EC,0.9515595798664185,-0.033333333333333305,0.05035311249328722
68,21,TOC,0.9544419345943712,-0.033333333333333305,0.05035311249328722
