,Bacteria,Chemicals,Importance_random_forest,CV_random_forest,R_squared_random_forest
0,0,Sr,0.1559384536766617,0.030076228567216368,0.632812729102358
1,1,HCHO,0.16118646045492568,-0.13864835303331358,0.51492260245374
2,1,Sr,0.24520469003476097,-0.13864835303331358,0.51492260245374
3,4,"['Fe', 'Al', 'Cr', 'Mn']",0.17964117825625892,-0.03785456443113078,0.5656503037695839
4,4,"['Fluoren', 'Fluoranten']",0.1693504669853817,-0.03785456443113078,0.5656503037695839
5,4,pH,0.16823303946422286,-0.03785456443113078,0.5656503037695839
6,4,EC,0.16364949519491023,-0.03785456443113078,0.5656503037695839
7,4,TOC,0.17675196080806344,-0.03785456443113078,0.5656503037695839
8,4,HCHO,0.17337850539695188,-0.03785456443113078,0.5656503037695839
9,4,B,0.1728029406513225,-0.03785456443113078,0.5656503037695839
10,4,Ni,0.17137964512111514,-0.03785456443113078,0.5656503037695839
11,4,Ga,0.17817562715403668,-0.03785456443113078,0.5656503037695839
12,4,Rb,0.18383178313865356,-0.03785456443113078,0.5656503037695839
13,4,Sr,0.25054694695215185,-0.03785456443113078,0.5656503037695839
14,4,Sb,0.18768317266268486,-0.03785456443113078,0.5656503037695839
15,4,Ba,0.18531757412965,-0.03785456443113078,0.5656503037695839
16,4,Naftalen,0.1827231182629001,-0.03785456443113078,0.5656503037695839
17,4,Acenaften,0.1801795423211464,-0.03785456443113078,0.5656503037695839
18,5,Rb,0.1936559411121358,-0.23833462817667872,0.4383572272781937
19,6,"['Fe', 'Al', 'Cr', 'Mn']",0.2325042222998861,-0.2159480762380257,0.4215859125135051
20,6,"['Se', 'Mo']",0.2330192657559368,-0.2159480762380257,0.4215859125135051
21,6,"['Fluoren', 'Fluoranten']",0.2310801311880364,-0.2159480762380257,0.4215859125135051
22,6,pH,0.23221375561224933,-0.2159480762380257,0.4215859125135051
23,6,EC,0.23105354230032793,-0.2159480762380257,0.4215859125135051
24,6,TOC,0.23087878480868074,-0.2159480762380257,0.4215859125135051
25,6,HCHO,0.23056003586822615,-0.2159480762380257,0.4215859125135051
26,6,B,0.230964902977013,-0.2159480762380257,0.4215859125135051
27,6,Ni,0.2321237051666435,-0.2159480762380257,0.4215859125135051
28,6,Ga,0.23104691945584255,-0.2159480762380257,0.4215859125135051
29,6,Rb,0.2311996043862622,-0.2159480762380257,0.4215859125135051
30,6,Sr,0.2457148900465933,-0.2159480762380257,0.4215859125135051
31,6,Sb,0.2326845270548371,-0.2159480762380257,0.4215859125135051
32,6,Ba,0.2480451474571409,-0.2159480762380257,0.4215859125135051
33,6,Naftalen,0.23107450273142116,-0.2159480762380257,0.4215859125135051
34,6,Acenaften,0.29778133849031774,-0.2159480762380257,0.4215859125135051
35,9,"['Fe', 'Al', 'Cr', 'Mn']",0.17642159254220213,-0.3323169781013877,0.5416564345679011
36,9,EC,0.17069225880574468,-0.3323169781013877,0.5416564345679011
37,9,Ni,0.16640000725623594,-0.3323169781013877,0.5416564345679011
38,9,Rb,0.18004419430587038,-0.3323169781013877,0.5416564345679011
39,9,Sr,0.18995220831443704,-0.3323169781013877,0.5416564345679011
40,9,Ba,0.16563901254724112,-0.3323169781013877,0.5416564345679011
41,10,"['Li', 'Antracen']",0.16476194296567626,-0.17001302270170693,0.18452157383810608
42,10,"['V', 'As']",0.1614343867293201,-0.17001302270170693,0.18452157383810608
43,10,"['Mn', 'Fe']",0.1639551162615165,-0.17001302270170693,0.18452157383810608
44,10,"['Fe', 'Al', 'Cr', 'Mn']",0.17295536944889323,-0.17001302270170693,0.18452157383810608
45,10,"['Se', 'Mo']",0.17395288094480477,-0.17001302270170693,0.18452157383810608
46,10,"['Fluoren', 'Fluoranten']",0.16931852500938205,-0.17001302270170693,0.18452157383810608
47,10,pH,0.18053930325336054,-0.17001302270170693,0.18452157383810608
48,10,EC,0.1681814850123421,-0.17001302270170693,0.18452157383810608
49,10,TOC,0.17768667356206402,-0.17001302270170693,0.18452157383810608
50,10,HCHO,0.1708960365231479,-0.17001302270170693,0.18452157383810608
51,10,B,0.19306181831078972,-0.17001302270170693,0.18452157383810608
52,10,Ni,0.18303141315827032,-0.17001302270170693,0.18452157383810608
53,10,Ga,0.18208636414026902,-0.17001302270170693,0.18452157383810608
54,10,Rb,0.16931852500938205,-0.17001302270170693,0.18452157383810608
55,10,Sr,0.18212138128890532,-0.17001302270170693,0.18452157383810608
56,10,Sb,0.2295676497069068,-0.17001302270170693,0.18452157383810608
57,10,Ba,0.20966599711355371,-0.17001302270170693,0.18452157383810608
58,10,Naftalen,0.1770620804251598,-0.17001302270170693,0.18452157383810608
59,10,Acenaften,0.17260452039671093,-0.17001302270170693,0.18452157383810608
60,11,Rb,0.18515124413517714,-0.1824694560566269,0.5385118803196101
61,11,Sr,0.1640193634630086,-0.1824694560566269,0.5385118803196101
62,11,Ba,0.1729127374242233,-0.1824694560566269,0.5385118803196101
63,11,Naftalen,0.16685345090387227,-0.1824694560566269,0.5385118803196101
64,12,B,0.15669558642955173,0.010111924767332359,0.6280908490534625
65,12,Sr,0.30757412995752953,0.010111924767332359,0.6280908490534625
66,13,Sr,0.2444551410557153,0.19808918637249118,0.6361256315481489
67,15,Ga,0.3364753180403708,-0.08411439012987865,0.48111072968718305
68,15,Rb,0.18087738414964738,-0.08411439012987865,0.48111072968718305
69,17,Sr,0.15852743453871032,0.2064059409303105,0.7281456506802005
70,20,Rb,0.2102580481310804,-0.16174550602607551,0.34363513188501205
71,20,Acenaften,0.1508673753200206,-0.16174550602607551,0.34363513188501205
