,Bacteria,Chemicals,Importance_decision_tree,CV_decision_tree,R_squared_decision_tree
0,1,B,1.3067729083665338,0.46555555555555567,0.8342629482071713
1,4,Acenaften,1.0467386274075416,-48.770914006872616,0.5145541632261226
2,6,"['EC', 'Sr', 'Antracen']",1.422222222222222,-0.9960691358024686,-0.7777777777777777
3,6,"['V', 'As']",0.9481481481481482,-0.9960691358024686,-0.7777777777777777
4,6,"['Cr', 'Fe']",1.1851851851851851,-0.9960691358024686,-0.7777777777777777
5,6,"['Mn', 'Fe']",1.1851851851851851,-0.9960691358024686,-0.7777777777777777
6,6,"['Fe', 'Al', 'Cr', 'Mn']",1.422222222222222,-0.9960691358024686,-0.7777777777777777
7,6,"['Se', 'Mo']",1.422222222222222,-0.9960691358024686,-0.7777777777777777
8,6,"['Sr', 'EC']",1.1851851851851851,-0.9960691358024686,-0.7777777777777777
9,6,"['Fluoren', 'Fluoranten']",1.422222222222222,-0.9960691358024686,-0.7777777777777777
10,6,pH,1.422222222222222,-0.9960691358024686,-0.7777777777777777
11,6,TOC,1.422222222222222,-0.9960691358024686,-0.7777777777777777
12,6,HCHO,1.422222222222222,-0.9960691358024686,-0.7777777777777777
13,6,B,1.422222222222222,-0.9960691358024686,-0.7777777777777777
14,6,Ni,1.422222222222222,-0.9960691358024686,-0.7777777777777777
15,6,Ga,1.422222222222222,-0.9960691358024686,-0.7777777777777777
16,6,Rb,1.422222222222222,-0.9960691358024686,-0.7777777777777777
17,6,Sb,1.422222222222222,-0.9960691358024686,-0.7777777777777777
18,6,Ba,1.422222222222222,-0.9960691358024686,-0.7777777777777777
19,6,Naftalen,1.422222222222222,-0.9960691358024686,-0.7777777777777777
20,6,Acenaften,1.422222222222222,-0.9960691358024686,-0.7777777777777777
21,9,"['EC', 'Sr', 'Antracen']",1.422222222222222,-0.13999999999999996,-0.7777777777777777
22,9,"['Al', 'Fe']",1.422222222222222,-0.13999999999999996,-0.7777777777777777
23,9,"['V', 'As']",1.422222222222222,-0.13999999999999996,-0.7777777777777777
24,9,"['Cr', 'Fe']",1.422222222222222,-0.13999999999999996,-0.7777777777777777
25,9,"['Mn', 'Fe']",1.422222222222222,-0.13999999999999996,-0.7777777777777777
26,9,"['Fe', 'Al', 'Cr', 'Mn']",1.422222222222222,-0.13999999999999996,-0.7777777777777777
27,9,"['Sr', 'EC']",1.422222222222222,-0.13999999999999996,-0.7777777777777777
28,9,"['Fluoren', 'Fluoranten']",1.422222222222222,-0.13999999999999996,-0.7777777777777777
29,9,"['Antracen', 'EC', 'Li']",1.422222222222222,-0.13999999999999996,-0.7777777777777777
30,9,pH,1.422222222222222,-0.13999999999999996,-0.7777777777777777
31,9,TOC,1.422222222222222,-0.13999999999999996,-0.7777777777777777
32,9,HCHO,1.422222222222222,-0.13999999999999996,-0.7777777777777777
33,9,B,1.422222222222222,-0.13999999999999996,-0.7777777777777777
34,9,Ni,1.422222222222222,-0.13999999999999996,-0.7777777777777777
35,9,Ga,1.422222222222222,-0.13999999999999996,-0.7777777777777777
36,9,Rb,1.422222222222222,-0.13999999999999996,-0.7777777777777777
37,9,Sb,1.422222222222222,-0.13999999999999996,-0.7777777777777777
38,9,Ba,1.422222222222222,-0.13999999999999996,-0.7777777777777777
39,9,Naftalen,1.422222222222222,-0.13999999999999996,-0.7777777777777777
40,9,Acenaften,1.422222222222222,-0.13999999999999996,-0.7777777777777777
41,13,Ba,0.9056378046956781,-5.361141771808438,0.4054134888589801
42,17,"['EC', 'Sr', 'Antracen']",2.1333333333333333,0.010000000000000142,-1.1333333333333333
43,17,"['Li', 'Antracen']",2.1333333333333333,0.010000000000000142,-1.1333333333333333
44,17,"['Al', 'Fe']",2.1333333333333333,0.010000000000000142,-1.1333333333333333
45,17,"['V', 'As']",2.1333333333333333,0.010000000000000142,-1.1333333333333333
46,17,"['Cr', 'Fe']",2.1333333333333333,0.010000000000000142,-1.1333333333333333
47,17,"['Mn', 'Fe']",2.1333333333333333,0.010000000000000142,-1.1333333333333333
48,17,"['Fe', 'Al', 'Cr', 'Mn']",2.1333333333333333,0.010000000000000142,-1.1333333333333333
49,17,"['Se', 'Mo']",2.1333333333333333,0.010000000000000142,-1.1333333333333333
50,17,"['Sr', 'EC']",2.1333333333333333,0.010000000000000142,-1.1333333333333333
51,17,"['Fluoren', 'Fluoranten']",2.1333333333333333,0.010000000000000142,-1.1333333333333333
52,17,"['Antracen', 'EC', 'Li']",2.1333333333333333,0.010000000000000142,-1.1333333333333333
53,17,pH,2.1333333333333333,0.010000000000000142,-1.1333333333333333
54,17,TOC,2.1333333333333333,0.010000000000000142,-1.1333333333333333
55,17,HCHO,2.1333333333333333,0.010000000000000142,-1.1333333333333333
56,17,B,2.1333333333333333,0.010000000000000142,-1.1333333333333333
57,17,Ni,2.1333333333333333,0.010000000000000142,-1.1333333333333333
58,17,Ga,2.1333333333333333,0.010000000000000142,-1.1333333333333333
59,17,Rb,2.1333333333333333,0.010000000000000142,-1.1333333333333333
60,17,Sb,2.1333333333333333,0.010000000000000142,-1.1333333333333333
61,17,Ba,2.1333333333333333,0.010000000000000142,-1.1333333333333333
62,17,Naftalen,2.1333333333333333,0.010000000000000142,-1.1333333333333333
63,17,Acenaften,2.1333333333333333,0.010000000000000142,-1.1333333333333333
64,20,"['EC', 'Sr', 'Antracen']",1.032258064516129,0.16,-0.5483870967741935
65,20,"['Li', 'Antracen']",1.032258064516129,0.16,-0.5483870967741935
66,20,"['Al', 'Fe']",1.032258064516129,0.16,-0.5483870967741935
