,Family (Aggregated)
220,[Mogibacteriaceae]
221,[Tissierellaceae]
222,Christensenellaceae
223,Clostridiaceae
224,Dehalobacteriaceae
225,Eubacteriaceae
226,Gracilibacteraceae
227,Lachnospiraceae
228,Peptococcaceae
229,Ruminococcaceae
230,Veillonellaceae
231,{Unknown Family} Natranaerobiales
232,Thermodesulfobiaceae
233,Erysipelotrichaceae
234,{Unknown Class} GAL15
235,{Unknown Order} Gemm-1
236,{Unknown Order} Gemm-2
237,{Unknown Order} Gemm-5
238,{Unknown Order} Gemmatimonadetes
239,{Unknown Family} Ellin5290
240,{Unknown Family} Gemmatimonadales
241,A1-B1
242,Ellin5301
243,Gemmatimonadaceae
244,{Unknown Family} KD8-87
245,{Unknown Family} N1423WL
246,{Unknown Class} GN02
247,{Unknown Order} 3BR-5F
248,{Unknown Order} BB34
249,{Unknown Order} BD1-5
250,{Unknown Order} GKS2-174
251,{Unknown Order} GN07
252,{Unknown Order} GN10
253,{Unknown Order} IIB17
254,{Unknown Class} Kazan-3B-28
255,{Unknown Class} LD1
256,Arctic95B-10
257,Lentisphaeraceae
258,Victivallaceae
259,{Unknown Family} Z20
260,{Unknown Class} MVP-21
261,{Unknown Family} Nitrospirales
262,0319-6A21
263,[Leptospirillaceae]
264,[Thermodesulfovibrionaceae]
265,Nitrospiraceae
266,{Unknown Class} NKB19
267,{Unknown Order} TSBW08
268,{Unknown Class} OD1
269,{Unknown Order} ABY1
270,{Unknown Order} Mb-NB09
271,{Unknown Order} SM2F11
272,{Unknown Order} ZB2
273,{Unknown Class} OP11
274,{Unknown Order} OP11-1
275,{Unknown Order} OP11-2
276,{Unknown Family} WCHB1-07
277,{Unknown Order} OP11-3
278,{Unknown Order} OP11-4
279,{Unknown Order} WCHB1-64
280,{Unknown Family} d153
281,{Unknown Family} K2-4-19
282,{Unknown Class} OP3
283,{Unknown Order} BD4-9
284,{Unknown Order} koll11
285,{Unknown Family} GIF10
286,kpj58rc
287,{Unknown Order} PBS-25
288,{Unknown Order} OP8_1
289,{Unknown Order} OP8_2
290,{Unknown Family} SB-45
291,{Unknown Class} Planctomycetes
292,{Unknown Order} 028H05-P-BN-P5
293,Brocadiaceae
294,{Unknown Order} BD7-11
295,{Unknown Family} d113
296,{Unknown Family} MVS-107
297,{Unknown Family} agg27
298,{Unknown Family} CL500-15
299,{Unknown Family} AKAU3564
300,{Unknown Family} CCM11a
301,{Unknown Family} CPla-3
302,{Unknown Family} Phycisphaerales
303,Phycisphaeraceae
304,{Unknown Family} S-70
305,{Unknown Family} WD2101
306,{Unknown Order} Pla4
307,Gemmataceae
308,Isosphaeraceae
309,Pirellulaceae
310,Planctomycetaceae
311,{Unknown Family} DH61
312,{Unknown Family} p04_C01
313,{Unknown Family} PHOS-HE93
314,{Unknown Class} Proteobacteria
315,{Unknown Order} Alphaproteobacteria
316,{Unknown Family} BD7-3
317,{Unknown Family} Caulobacterales
318,Caulobacteraceae
319,{Unknown Family} Ellin329
320,Kiloniellaceae
321,{Unknown Family} Rhizobiales
322,Aurantimonadaceae
323,Beijerinckiaceae
324,Bradyrhizobiaceae
325,Brucellaceae
326,Hyphomicrobiaceae
327,Methylobacteriaceae
328,Methylocystaceae
329,Phyllobacteriaceae
330,Rhizobiaceae
331,Xanthobacteraceae
332,Hyphomonadaceae
333,Rhodobacteraceae
334,{Unknown Family} Rhodospirillales
335,Acetobacteraceae
336,Rhodospirillaceae
337,{Unknown Family} Rickettsiales
338,mitochondria
339,Pelagibacteraceae
340,Rickettsiaceae
341,{Unknown Family} Sphingomonadales
342,Erythrobacteraceae
343,Sphingomonadaceae
344,{Unknown Order} Betaproteobacteria
345,{Unknown Family} A21b
346,UD5
347,{Unknown Family} Burkholderiales
348,Alcaligenaceae
349,Burkholderiaceae
350,Comamonadaceae
351,Oxalobacteraceae
352,{Unknown Family} Ellin6067
353,Gallionellaceae
354,Hydrogenophilaceae
355,{Unknown Family} IS-44
356,{Unknown Family} Methylophilales
357,Methylophilaceae
358,{Unknown Family} MKC10
359,{Unknown Family} MND1
360,Neisseriaceae
361,Nitrosomonadaceae
362,Procabacteriaceae
